,20%,40%,60%,80%
<30,"269,083","377,941","500,142","736,383"
30-34,"275,286","381,601","507,332","755,283"
35-39,"277,052","383,316","510,378","794,857"
40-44,"271,214","385,177","515,064","828,584"
45-54,"267,178","383,741","513,684","865,057"
55-64,"257,576","379,759","514,372","872,666"
>65,"255,141","377,487","510,297","817,751"
